PRODUCT_SKU,PRODUCT_TITLE,BRAND,CATEGORY,STOCK,PRICE,SHIPPING,IMAGES,PRODUCT_DESCRIPTION,product_inbox,product_gtin,rrp,handling_days,PRODUCT_LOCATION,variant_group_id,variant_group_title,variant_facet_type,variant_facet_group,variant_facet_value
[C5] E00-09-08 +E00-09-11,Wallet Iphone 8/SE2/SE3 blue,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/g64AAOSwM0xjRHvu/s-l400.jpg,"Features:
-- Constructed of high-quality polycarbonate and TPU material with smooth finish
-- Dual layer of protection with shock resistant inner layer, light weight, soft and easy to install.
-- Security card slot: The card can store up to 4~5 cards, which can carry ID card, credit card and change money safely.
-- Flip cover design makes it easier to open and close. Built-in durable and wear-resistant spring can be used for long-term use.
-- Anti-slip, tactile grip perimeter texture designed to release the flow of forced energy created from drops.
-- Quick Connect cover protects the charge and audio ports from dust and dirt.
-- Stylish, slim, and light-weight with access to all buttons.",1x Wallet Iphone 8/SE2/SE3 blue,,14.9,2,AU,,,,,Blue
[C5] I4-05-00-A,Lens Protector Case 11 Black,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/ev8AAOSwlkdk2x5C/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 Black,,14.9,2,AU,,,,,Black
[C5] I4-06-00-A,Lens Protector Case 11 Blue,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/39oAAOSwIaRk2x4j/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 Blue,,14.9,2,AU,,,,,Blue
[C5] I4-08-00-A,Lens Protector Case 11 Gold,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/NYEAAOSwOy1k2x4s/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 Gold,,14.9,2,AU,,,,,Gold
[C5] I4-08-00-B,Lens Protector Case 11 Green,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 Green,,14.9,2,AU,,,,,Green
[C5] I4-08-00-B.,Lens Protector Case 11 Light green,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 Light green,,14.9,2,AU,,,,,Light Green
[C5] H4-01-08-A,Lens Protector Case 11 pro Black,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/ev8AAOSwlkdk2x5C/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 pro Black,,14.9,2,AU,,,,,Black
[C5] H4-02-08-A,Lens Protector Case 11 pro Blue,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/39oAAOSwIaRk2x4j/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 pro Blue,,14.9,2,AU,,,,,Blue
[C5] H4-04-08-A,Lens Protector Case 11 pro Gold,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/NYEAAOSwOy1k2x4s/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 pro Gold,,14.9,2,AU,,,,,Gold
[C5] H4-04-08-B,Lens Protector Case 11 pro Green,Generic,kogan:9431,20,3,0,https://i.ebayimg.com/images/g/~q0AAOSws7Zk2x4Y/s-l1600.webp,"Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone
Specifically designed for various iPhone models.
The case features a soft TPU material, providing shockproof protection against drops and impacts.
Includes a lens protector on the back, safeguarding the iPhone's camera lens from scratches and damage.
The clear design allows the original iPhone color and design to show through.
Made with high-quality materials to ensure durability and long-lasting performance.
Offers full coverage for the back and sides of the iPhone, protecting it from scratches and dings.
Precise cutouts for easy access to all buttons, ports, and camera without removing the case.
The shockproof clear case is slim and lightweight, adding minimal bulk to the iPhone.
Easy to install and remove, allowing for convenient usage and case changes.
The Lens Protector Soft TPU Shockproof Clear Case Cover For iPhone provides reliable protection for your iPhone while keeping its original design visible and protected, including a specialized lens protector to keep the camera lens in pristine condition.",1x Lens Protector Case 11 pro Green,,14.9,2,AU,,,,,Green
