PRODUCT_SKU,PRODUCT_TITLE,BRAND,CATEGORY,STOCK,PRICE,SHIPPING,IMAGES,PRODUCT_DESCRIPTION,product_inbox,product_gtin,rrp,handling_days,PRODUCT_LOCATION,variant_group_id,variant_group_title,variant_facet_type,variant_facet_group,variant_facet_value
[KG]/[C5] E0-06-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Black),Generic,kogan:31820,20,6.9,0,https://i.ebayimg.com/images/g/j9sAAOSwXhlk3cuJ/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[C5] E0-09-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Blue),Generic,kogan:31820,20,5.52,0,https://i.ebayimg.com/images/g/qkMAAOSwq25k3ctf/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[C5] E0-10-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Pink),Generic,kogan:31820,20,5.52,0,https://i.ebayimg.com/images/g/qmAAAOSwWJlk3ct4/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[C5] E0-07-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Silver),Generic,kogan:31820,20,5.52,0,https://i.ebayimg.com/images/g/6E4AAOSwGb1k3cub/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[C5] E0-08-06,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Gold),Generic,kogan:31820,20,5.52,0,https://i.ebayimg.com/images/g/l94AAOSwfaRk3cvL/s-l1600.jpg | https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[C5] E0-06-07,USB 3.0 To Type C Adapter Fast Converter USB-C Data OTG Adapter (Light Pink),Generic,kogan:31820,20,5.52,0,https://i.ebayimg.com/images/g/EWMAAOSwsbRk3cvA/s-l1600.jpg| https://i.ebayimg.com/images/g/hyEAAOSwkkFk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/p8AAAOSwBGNk1S8P/s-l1600.jpg | https://i.ebayimg.com/images/g/dIcAAOSwzaVk1S8Q/s-l1600.jpg | https://i.ebayimg.com/images/g/q9YAAOSwiWNk1S8R/s-l1600.jpg | https://i.ebayimg.com/images/g/a-oAAOSw8BZk1S8S/s-l1600.jpg,"- Type C Adapter Converter Charging & Data Adapter

- Designed to convert USB Type-C port to various other interfaces.

- Allows charging and data transfer through the adapter.

- Specifically designed for compatibility with USB Type-C devices.

- Made with high-quality materials to ensure reliable performance.

- The adapter is compact and portable, making it easy to carry and use on the go.

- Supports fast charging and high-speed data transfer rates.

- Enables the connection of older devices or accessories with different ports to USB Type-C devices.

- Offers a versatile solution for connecting and charging different devices with USB Type-C compatibility.

- The Type C Adapter Converter Charging & Data Adapter is a handy accessory for users who need to connect and charge various devices with USB Type-C ports, ensuring smooth and seamless data transfer and charging capabilities.",1x USB OTG Adapter Type C,,,2,AU,,,,,
[KG]/[Parcel-Medium] B4-03-05-A,USAMS Car Phone Holder Clip Mount 360° Air Vent Adjustable For Universal - White,USAMS,kogan:9471,50,15.9,0,https://i.ebayimg.com/images/g/JcAAAOSwoIdmmf02/s-l1600.jpg | https://i.ebayimg.com/images/g/iY4AAOSwxAxmmfz6/s-l1600.jpg | https://i.ebayimg.com/images/g/GpYAAOSwdMZmmfz9/s-l1600.jpg | https://i.ebayimg.com/images/g/s-UAAOSwJAZmmfz-/s-l1600.jpg | https://i.ebayimg.com/images/g/r38AAOSw20tmmfz-/s-l1600.jpg | https://i.ebayimg.com/images/g/bw4AAOSwzPBmmfz~/s-l1600.jpg,"- Crafted intricately out of ABS & silicone material that provides sturdiness to the whole structure, this phone holder also supports universal mounting. It can hold all phone and case combinations within 3-6 inches.

- It is equipped with universal Easy One Touch mounting system that locks and releases the device with just a push of lever. In fact, the cradle rotates at the swivel Ball 360 degree for optimal viewing angles.

- This is a latest model, designed with a spring loaded one click lock and release feature to provide a strong clamped hold to users vent blade while also minimizing vibrations to your device.",1x Air Vent Car Phone Holder,6958444954349,19.9,2,AU,,,,,
[KG]/[Parcel-Medium] B4-03-05-B,USAMS Phone Holder Non-Slip 360 Degree Rotation Universal Handlebar Mounted Navigation Phone Bracket For Bicycle Bike Motorcycle,USAMS,kogan:9471,0,12.72,0,https://i.ebayimg.com/images/g/b64AAOSwBwRmmgE2/s-l1600.webp | https://i.ebayimg.com/images/g/xkMAAOSwXHRmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/qO4AAOSwmTRmjjfE/s-l1600.webp | https://i.ebayimg.com/images/g/8E4AAOSwORFmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/dokAAOSwwBdmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/BT4AAOSw~LNmjjfD/s-l1600.webp | https://i.ebayimg.com/images/g/RGoAAOSwoCtmjjfD/s-l1600.webp ,"- Tightly clamp the phone, convenient to navigate when riding.

- One-button Locking, stable and anti-fall.

- 360° rotating, flexible adjustment.

- Do not block the button and screen.",1x Bike Phone Holder,6958444982083,18.9,2,AU,,,,,
[KG]/[Parcel-Medium] B4-04-05,USAMS Gravity Car Phone Holder Air Vent Grip Mount For iPhone 15 14 Samsung,USAMS,kogan:9471,50,15.92,0,https://i.ebayimg.com/images/g/eikAAOSwRX5mmgi5/s-l1600.webp | https://i.ebayimg.com/images/g/AU8AAOSwbKZmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/2zcAAOSw-JNmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/rNUAAOSwG~ZmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/xHoAAOSwuMNmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/ydwAAOSw0fNmmgcQ/s-l1600.webp | https://i.ebayimg.com/images/g/HokAAOSwHadmmgcP/s-l1600.webp | https://i.ebayimg.com/images/g/T10AAOSwLZVmmgcQ/s-l1600.webp ,"- The mobile phone gravity bottom pulls down, and the clamp arms on both sides automatically adduct, clamping the mobile phone

- Convenient and safe to operate

- Triangle fixed, firm and stable

- Rubber Speed Hump    Emergency brake    Mountain road     Corner

- Upgraded spring linkage wheel,smooth and silently work""

- Support 360° direction  adjustment

- Mini size do not block sight,safe driving""

- Clamp arm with aluminum alloy material,durable in use""

- Soft silicone material , better protect for your phone and  car 

- Clamp arm: mesh silicon mat,anti-slip

- Base tray: bright mesh silicon mat

- Clip head: Four silicon clips,stable and shockproof ""

- Acrylic main panel, smooth and bright

- Oxidation sandblasting process, no fingerprints""

- Reserve charging port, convenient to charge

- Suitable for 4.5-6.5 inches cellphones ",1x Car Phone Holder,6958444982076,29.9,2,AU,,,,,
[KG]/[Parcel-Medium] B4-05-05,USAMS Car Phone Holder Mount Vent Grip Lock 360° Rotation For iPhone Samsung,USAMS,kogan:9471,50,15.92,0,https://i.ebayimg.com/images/g/olkAAOSw0mpmmgxq/s-l1600.webp | https://i.ebayimg.com/images/g/QCUAAOSwi5hmmgxo/s-l1600.webp | https://i.ebayimg.com/images/g/XYgAAOSwa~tmmgxl/s-l1600.webp | https://i.ebayimg.com/images/g/v8EAAOSw6X1mmgxl/s-l1600.webp | https://i.ebayimg.com/images/g/4cIAAOSwmaBmmgxm/s-l1600.webp | https://i.ebayimg.com/images/g/XEIAAOSw-RBmmgxm/s-l1600.webp | https://i.ebayimg.com/images/g/gyMAAOSwQXNmmgxr/s-l1600.webp ,"- It is easy to access and proper control when working with the phone.

- The arms of this holder have the ability to rotate 150 degrees so that placing and maintaining the phone is done easily.

- Inside the clip of this holder, there is a ball-shaped part that rotates 360 degrees and you can easily adjust your viewing angle on the phone.

- You can put the phone on the holder with only one hand and remove it if needed.

- By opening and closing the sliding brackets on both sides and the bottom of the holder, different phones can be placed inside the base.

- By creating an abstract triangular shape, this holder holds the phone well and is completely safe.

- It is compatible with 4.7 to 6.5-inch phones.

Color: Black
Brand: USAMS
Model: US-ZJ058
In The Box: Retractable Car Holder
Product ID: 60918",1x USAMS Penguin Phone Holder,6958444946139,29.9,2,AU,,,,,
