PRODUCT_SKU,PRODUCT_TITLE,BRAND,CATEGORY,STOCK,PRICE,SHIPPING,IMAGES,PRODUCT_DESCRIPTION,product_inbox,product_gtin,rrp,handling_days,PRODUCT_LOCATION,variant_group_id,variant_group_title,variant_facet_type,variant_facet_group,variant_facet_value
[Small]E0-14-09,Airpods earbuds cover Airpods 3 Teal,Generic,kogan:8269,20,2.99,0,https://i.ebayimg.com/images/g/bVAAAOSwanhlP1cX/s-l1600.webp,"Everlab AirPods Ear Hook Silicone Cover
Designed to enhance the stability and comfort of your AirPods during use.
Made from soft and flexible silicone material for a comfortable fit.
Features a hook-shaped design that securely attaches to your ears.
Helps prevent AirPods from falling out during physical activities.
Provides a secure fit for both AirPods and AirPods Pro models.
Easy to install and remove, offering hassle-free usability.
The silicone material is durable and easy to clean.
Available in different colors to match your personal style.
Enhances the overall experience of wearing AirPods during workouts or daily activities.
The Everlab AirPods Ear Hook Silicone Cover is a practical accessory for AirPods users who want to ensure a secure fit during physical activities. Made from soft silicone, this cover features a hook-shaped design that fits comfortably around your ears, preventing the AirPods from accidentally falling out. Whether you're jogging, working out, or simply on the move, this accessory provides extra stability for your AirPods. Its easy installation and removal make it a convenient addition to your AirPods setup. With various color options available, you can choose the one that best matches your style while enjoying a more secure and comfortable fit for your AirPods.",1x Airpods earbuds cover Airpods 3 Teal,,7.99,2,AU,,,,,Teal
[Small]E0-11-09,Airpods earbuds cover Airpods 3 White,Generic,kogan:8269,20,2.99,0,https://i.ebayimg.com/images/g/bVAAAOSwanhlP1cX/s-l1600.webp,"Everlab AirPods Ear Hook Silicone Cover
Designed to enhance the stability and comfort of your AirPods during use.
Made from soft and flexible silicone material for a comfortable fit.
Features a hook-shaped design that securely attaches to your ears.
Helps prevent AirPods from falling out during physical activities.
Provides a secure fit for both AirPods and AirPods Pro models.
Easy to install and remove, offering hassle-free usability.
The silicone material is durable and easy to clean.
Available in different colors to match your personal style.
Enhances the overall experience of wearing AirPods during workouts or daily activities.
The Everlab AirPods Ear Hook Silicone Cover is a practical accessory for AirPods users who want to ensure a secure fit during physical activities. Made from soft silicone, this cover features a hook-shaped design that fits comfortably around your ears, preventing the AirPods from accidentally falling out. Whether you're jogging, working out, or simply on the move, this accessory provides extra stability for your AirPods. Its easy installation and removal make it a convenient addition to your AirPods setup. With various color options available, you can choose the one that best matches your style while enjoying a more secure and comfortable fit for your AirPods.",1x Airpods earbuds cover Airpods 3 White,,7.99,2,AU,,,,,White
[Small]E3-08-11,Airpods SIlicone Case Airpods 1/2 Light Blue,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/gzAAAOSwX0FlpK~A/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 1/2 Light Blue,,10.49,2,AU,,,,,Light Blue
[Small]E3-12-11,Airpods SIlicone Case Airpods 1/2 Green,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/CdsAAOSwlfBlpK~G/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 1/2 Green,,10.49,2,AU,,,,,Midnight Green
[Small]E3-12-09,Airpods SIlicone Case Airpods 3 Pink,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 3 Pink,,10.49,2,AU,,,,,Pink
[Small]E3-12-03,Airpods SIlicone Case Airpods 3 Pink,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 3 Pink,,10.49,2,AU,,,,,Pink
[Small]E3-12-08,Airpods SIlicone Case Airpods 3 Light Blue,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/gzAAAOSwX0FlpK~A/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 3 Light Blue,,10.49,2,AU,,,,,Light Blue
[Small]E3-12-10,Airpods SIlicone Case Airpods 3 Green,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/CdsAAOSwlfBlpK~G/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods 3 Green,,10.49,2,AU,,,,,Midnight Green
[Small]E3-11-02,Airpods SIlicone Case Airpods Pro Pink,Generic,kogan:8269,20,5.49,0,https://i.ebayimg.com/images/g/unEAAOSwkvNlpK-F/s-l1600.webp,"Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case
Specifically designed for Apple AirPods, providing a custom-fit and compatibility.
The case is made from high-quality silicone gel material, offering shockproof protection and durability.
Designed to fit the AirPods charging case perfectly, protecting it from scratches, bumps, and minor impacts.
The silicone gel material provides a soft and comfortable grip while enhancing the overall durability of the AirPods case.
Precise cutouts ensure easy access to the AirPods' charging port and status light.
The case is easy to install and remove, ensuring a hassle-free application process.
Available in a variety of colors and styles to match your personal preferences and style.
The Apple AirPods Silicone Gel Case Shockproof Protective Cover Skin Case is a practical accessory to safeguard your AirPods charging case. With its shockproof protection and precise fit, it offers reliable defense against daily wear and tear. Additionally, its soft silicone gel material enhances the grip and adds a touch of personalization to your AirPods case. Whether you're carrying your AirPods in your bag, pocket, or purse, this protective cover ensures they stay safe and secure.",1x Airpods SIlicone Case Airpods Pro Pink,,10.49,2,AU,,,,,Pink
[KG]/[C5] E0-08-05,Apple AirTag Silicone Case Protective Cover Location Tracker Keychain Holder Sleeve (Pink),Generic,kogan:39428,20,4.472,0,https://i.ebayimg.com/images/g/agwAAOSwe79k1Oy1/s-l1600.jpg | https://i.ebayimg.com/images/g/dzMAAOSw7-Rk1Oxf/s-l1600.jpg | https://i.ebayimg.com/images/g/KU0AAOSwEJ5k1Oxg/s-l1600.jpg | https://i.ebayimg.com/images/g/WMcAAOSw1~dk1Oxe/s-l1600.jpg | https://i.ebayimg.com/images/g/CJAAAOSwFQ5k1Oxd/s-l1600.jpg,"- AirTag Silicone Case Cover

- Designed specifically for Apple AirTag.

- Made from high-quality silicone material, providing a soft and flexible protective layer for the AirTag.

- The case cover is custom-fit for the AirTag, ensuring a snug and secure fit.

- Protects the AirTag from scratches, scuffs, and minor impacts.

- Features a keychain holder, allowing you to easily attach the AirTag to your keys, bag, or other belongings.

- The silicone case cover provides full coverage for the AirTag, including the front and back.

- Precise cutouts for easy access to the AirTag's speaker and setup button.

- The case cover does not interfere with the AirTag's functionality, allowing it to work effectively for item tracking purposes.

- The silicone material offers a non-slip surface, preventing the AirTag from slipping out of place.

- Comes in various colors, allowing you to choose the one that matches your style or preferences.

- Lightweight and portable, adding minimal bulk to the AirTag and your belongings.

- The AirTag Silicone Case Cover is a practical and stylish solution to protect and personalize your AirTag while adding convenience with its keychain holder, making it easy to keep track of your valuables with Apple's item tracking technology.",1x AirTag Silicone Case Cover,,,2,AU,,,,,
