PRODUCT_SKU,PRODUCT_TITLE,BRAND,CATEGORY,STOCK,PRICE,SHIPPING,IMAGES,PRODUCT_DESCRIPTION,product_inbox,product_gtin,rrp,handling_days,PRODUCT_LOCATION,variant_group_id,variant_group_title,variant_facet_type,variant_facet_group,variant_facet_value
[KG]/[C5] A2-01-01 x1 + B2-01-04 x2,[2+2 Pack] NUGLAS iPhone 14 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 14 Pro Max 
[KG]/[C5] A2-01-02 x1 + B2-01-04 x2,[2+2 Pack] NUGLAS iPhone 14 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 14 Pro 
[KG]/[C5] A2-01-03 x1 + B2-06-03 x2,[2+2 Pack] NUGLAS iPhone 14 Plus Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 14 Plus 
[KG]/[C5] A2-01-04 x1 + B2-06-03 x2,[2+2 Pack] NUGLAS iPhone 14 Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 14 
[KG]/[C5] A2-01-03.x1 + B2-04-03 x2,[2+2 Pack] NUGLAS iPhone 13 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 13 Pro Max 
[KG]/[C5] A2-01-04. x1 + B2-04-03 x2,[2+2 Pack] NUGLAS iPhone 13 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 13 Pro 
[KG]/[C5] A2-01-04..x1 + B2-02-03 x2,[2+2 Pack] NUGLAS iPhone 13 Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 13 
[KG]/[C5] A2-01-05 x1 + B2-02-03 x2,[2+2 Pack] NUGLAS iPhone 13 Mini Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 13 Mini 
[KG]/[C5] A2-01-06 x1 + B2-07-02 x2,[2+2 Pack] NUGLAS iPhone 12 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 12 Pro Max 
[KG]/[C5] A2-02-01 x1 + B2-05-02 x2,[2+2 Pack] NUGLAS iPhone 12 Pro Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Nuglas,kogan:44032,50,8.5,0,https://i.ebayimg.com/images/g/UHAAAOSw~oNlpjVr/s-l1600.jpg | https://i.ebayimg.com/images/g/lLYAAOSwXGtk1PFj/s-l1600.jpg | https://i.ebayimg.com/images/g/SngAAOSwNEZk1PFk/s-l1600.jpg | https://i.ebayimg.com/images/g/9aUAAOSw7Atk1PFl/s-l1600.jpg | https://i.ebayimg.com/images/g/0l4AAOSwTXpk1PFm/s-l1600.jpg ,"- [Highly Touch Sensitive] With its ultra-thin 0.33 mm thickness, this screen protector is reliable and resilient, providing a high-sensitivity touch response, which keeps the phone fully operational.

- [Case Friendly] Specifically designed for raised edge phone cases, this full coverage screen protector features a small gap around the borders for your screen edge. No peeling off issues once the case is on.

- [Premium Protection] Crafted from premium 9H tempered glass, this screen protector is harder than a knife’s blade, offering superior protection against shattering, scratches, and shocks.

- [High Transparency] It features 9H 0.2mm tempered glass with 3D oneness technology, providing HD photographic enjoyment and offering the best full camera screen area protection.

- [Easy Installation] The nano-electrostatic automatic adsorption technology ensures a secure fit and easy installation with no bubbles. It leaves no residue when removed and is specifically designed to be case-friendly.

- [Fully Transparent] Enjoy ultimate clear clarity with the camera lens screen area well protected. It keeps your camera lens safe from dust, water, fingerprints, and scratches.

- [Unique Design] The camera flash circle is added, ensuring that photo clarity with flash on is not affected.

- [Retail Package] The package includes Alcohol Wipes, Electrostatic Dust Film, and a Screen Wipe Cloth.","2x Nuglas Tempered Glass Screen Protector - Clear
2x Nuglas Lens Protector - Clear",,25.99,2,AU,NG-IP-CLEAR,NUGLAS iPhone 14 13 12 11 Pro Max Screen Protector Tempered Glass With Camera Lens Protector 9H Hardness - Clear,Size,General,iPhone 12 Pro 
